epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,34328.8,1.31227,0.98266,0.95348,0.66739,0.53363,0.5622,0.34928,1.2823,0.98776,0.96639,0.000235404,0.000235404,0.000235404
84,34739.3,1.31127,0.97679,0.95307,0.66838,0.53339,0.56282,0.34979,1.28199,0.98734,0.96622,0.000224629,0.000224629,0.000224629
85,35151.5,1.31023,0.98329,0.95094,0.66675,0.5344,0.56333,0.35029,1.28179,0.98669,0.96606,0.000214046,0.000214046,0.000214046
86,35564,1.31098,0.97088,0.95164,0.66713,0.53459,0.56408,0.35088,1.28155,0.98594,0.96596,0.000203663,0.000203663,0.000203663
87,35975.8,1.3036,0.968,0.95123,0.66751,0.53486,0.56437,0.35176,1.28151,0.9854,0.96589,0.000193486,0.000193486,0.000193486
88,36387.4,1.30855,0.97232,0.95082,0.6686,0.53477,0.56476,0.35178,1.28141,0.98438,0.96575,0.000183523,0.000183523,0.000183523
89,36799.9,1.30582,0.96481,0.95055,0.66884,0.53451,0.56503,0.35231,1.2814,0.98366,0.96565,0.00017378,0.00017378,0.00017378
90,37212.6,1.30374,0.96832,0.94826,0.67266,0.53235,0.56559,0.35257,1.28128,0.98321,0.96551,0.000164264,0.000164264,0.000164264
91,37625.1,1.3026,0.95536,0.95139,0.67312,0.53218,0.56554,0.35281,1.28098,0.9829,0.96532,0.000154982,0.000154982,0.000154982
92,38037.5,1.29899,0.95205,0.94969,0.67407,0.53199,0.56543,0.35275,1.28074,0.98234,0.96513,0.00014594,0.00014594,0.00014594
93,38450.7,1.29783,0.95897,0.94964,0.67081,0.53492,0.56544,0.35293,1.28054,0.98149,0.96495,0.000137143,0.000137143,0.000137143
94,38864.6,1.29711,0.95487,0.94984,0.67302,0.53357,0.56614,0.35335,1.2804,0.98135,0.96482,0.000128599,0.000128599,0.000128599
95,39277.7,1.29833,0.9473,0.94965,0.67412,0.53314,0.56561,0.35287,1.28028,0.98089,0.96469,0.000120313,0.000120313,0.000120313
96,39691.8,1.29987,0.95016,0.9506,0.65985,0.54579,0.56625,0.35366,1.28034,0.9807,0.96464,0.00011229,0.00011229,0.00011229
